Recruitment is based on the manager's capacity to identify the ______  of the product.,requirements
The final decision-making stage in the recruitment process is called _______,selection
The two types of ________ evaluation are: individual and team-based.,performance
Which organizational theory states that workers are motivated by a sense of commitment?,Z theory
What is the name of the graph that indicates the level of involvement and responsibility of employees?,responsible accountable consulted informed
What percentage of the time does a manager spend communicating?,80%
The group in charge of reviewing the technical specifications and authorizing changes is called:_____ _____,control board
The number of steps necessary to establish a communication plan.,8
The extended systematic model of risk management includes _ steps.,8
The _____ represents the various risk categories that can trigger negative events.,risk source
